                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56148,                 2.7742,                 1.0113,                0.00325,                0.97368,                0.49144,                0.44174,                 0.3871,                 3.1923,                0.86563,                  4e-05,                  4e-05,                  4e-05
                      2,                0.58887,                 3.0894,                0.98492,                0.00333,                      1,                0.59651,                0.57381,                 0.2765,                 3.1362,                0.83451,               9.67e-05,               9.67e-05,               9.67e-05
                      3,                0.48431,                 2.1867,                0.92886,                0.00333,                      1,                0.63065,                0.59001,                0.29202,                 2.9929,                0.83135,             0.00014944,             0.00014944,             0.00014944
                      4,                0.43887,                 1.3461,                0.89502,                      1,                0.39811,                0.61928,                0.55778,                0.43233,                 2.7547,                0.86926,             0.00019822,             0.00019822,             0.00019822
                      5,                0.52292,                  1.303,                0.92103,                      1,                0.33895,                0.60186,                0.55217,                 0.4052,                 2.8047,                0.85528,             0.00024304,             0.00024304,             0.00024304
                      6,                0.55106,                 1.5027,                 1.0166,                      1,                0.26912,                0.59031,                0.53981,                0.37336,                 2.9316,                0.85436,              0.0002839,              0.0002839,              0.0002839
                      7,                0.48549,                  1.186,                0.92908,                      1,                0.32889,                0.58905,                0.53683,                0.39582,                 2.9739,                0.85639,              0.0003208,              0.0003208,              0.0003208
                      8,                 0.4734,                  1.134,                0.94959,                      1,                 0.5323,                 0.5954,                0.56164,                0.37922,                 2.9935,                0.85114,             0.00035374,             0.00035374,             0.00035374
                      9,                0.58539,                 1.1096,                0.95946,                      1,                0.39827,                 0.6254,                0.59457,                0.32355,                 2.9377,                0.83333,             0.00038272,             0.00038272,             0.00038272
                     10,                0.53374,                 1.1141,                 0.9261,                      1,                0.37405,                0.65122,                0.61206,                0.32595,                 2.8937,                0.83556,             0.00040774,             0.00040774,             0.00040774
                     11,                 0.5424,                 1.0642,                0.94539,                      1,                0.37246,                0.66969,                0.62089,                0.35957,                 2.8116,                0.85015,              0.0004288,              0.0004288,              0.0004288
                     12,                0.45358,                0.98546,                0.90794,                      1,                 0.4103,                0.61406,                0.57814,                0.38459,                 2.7441,                0.85705,              0.0004459,              0.0004459,              0.0004459
                     13,                0.46251,                 1.0868,                0.90973,                 0.9941,                0.57895,                0.61337,                 0.5792,                0.37581,                  2.557,                0.85348,             0.00045904,             0.00045904,             0.00045904
                     14,                0.57492,                 1.1065,                0.94783,                0.99247,                0.57895,                0.71449,                0.65726,                0.36538,                 2.4653,                0.84754,             0.00046822,             0.00046822,             0.00046822
                     15,                0.44681,                 0.9224,                0.87753,                0.97894,                0.57895,                0.88079,                0.81896,                0.38066,                 2.3113,                0.84721,             0.00047344,             0.00047344,             0.00047344
                     16,                 0.4991,                 1.1715,                0.92079,                0.98957,                0.57895,                0.79265,                0.72645,                 0.4218,                 2.2386,                0.85931,              0.0004747,              0.0004747,              0.0004747
                     17,                 0.5229,                 1.0226,                  1.011,                      1,                0.57841,                 0.7463,                0.67025,                0.44574,                 2.1341,                0.88616,               0.000472,               0.000472,               0.000472
                     18,                0.44961,                0.95305,                0.89986,                0.99492,                0.57895,                0.87589,                0.77587,                0.43538,                 2.0321,                0.87498,             0.00046534,             0.00046534,             0.00046534
                     19,                0.50518,                0.95671,                0.89029,                      1,                0.60361,                0.98833,                 0.8784,                0.40464,                 2.0142,                0.86294,             0.00045472,             0.00045472,             0.00045472
                     20,                 0.5072,                  1.008,                0.88293,                      1,                0.78848,                  0.995,                 0.9023,                0.37482,                 1.9907,                0.86328,             0.00044014,             0.00044014,             0.00044014
                     21,                 0.3995,                 1.2471,                0.84795,                0.95651,                0.84211,                0.97689,                0.90727,                0.35897,                 1.9355,                0.85574,              0.0004216,              0.0004216,              0.0004216
                     22,                0.37858,                 1.2306,                0.85253,                0.93956,                0.81823,                0.97148,                 0.8821,                 0.3677,                 2.0196,                0.85882,              0.0003991,              0.0003991,              0.0003991
                     23,                  0.389,                 1.3169,                 0.8309,                0.96546,                0.73573,                0.95232,                0.85181,                0.38473,                 2.1348,                 0.8867,             0.00037264,             0.00037264,             0.00037264
                     24,                0.38994,                 1.1651,                0.80331,                 0.9319,                0.76316,                0.95107,                0.81547,                0.39298,                 2.2065,                0.88985,             0.00034222,             0.00034222,             0.00034222
                     25,                0.38467,                 1.2697,                0.84447,                 0.9804,                0.81579,                0.97802,                0.86314,                0.38136,                 2.1911,                0.89827,             0.00030784,             0.00030784,             0.00030784
                     26,                0.38026,                 1.2836,                0.86513,                      1,                0.88159,                 0.9877,                0.88712,                0.36674,                 2.0779,                0.87022,              0.0002695,              0.0002695,              0.0002695
                     27,                0.36038,                 1.2765,                0.83169,                0.98212,                0.94737,                  0.992,                0.91173,                0.34382,                 1.8982,                 0.8462,              0.0002272,              0.0002272,              0.0002272
                     28,                0.32771,                 1.1147,                0.80839,                0.97304,                 0.9499,                0.99321,                0.93848,                0.32024,                  1.702,                0.83565,             0.00018094,             0.00018094,             0.00018094
                     29,                0.35845,                  1.149,                0.84188,                0.97304,                 0.9499,                0.99321,                0.93848,                0.32024,                  1.702,                0.83565,             0.00013072,             0.00013072,             0.00013072
                     30,                0.32328,                 1.0847,                0.81712,                0.98919,                0.97368,                0.99449,                0.95886,                0.30126,                 1.5564,                0.82928,              7.654e-05,              7.654e-05,              7.654e-05
